# source: kjerag-spike --bin epi (0.2.0)
# args: scratch/epi/corpus/x2-1844.csv scratch/epi/corpus/x2-1913.csv scratch/epi/corpus/x2-1936.csv axis=epi middle=trimmed seam=roll:-2.503,yaw:1.334,pitch:2.559,cx:3.31,cy:-8.04 dump=scratch/epi/leftovers-x2-epi.csv
# axis: across the seam (epipolar)
# reduction: trimmed, gate on
# seam: roll:-2.503 yaw:1.334 pitch:2.559 cx:3.31 cy:-8.04
# left_deg is across_deg with the pose's own across-seam shift added.
capture,phi_deg,read_deg,left_deg,readings,negative,error_deg,skew_deg
x2-1844,0.0000,-2.253145,-0.051590,50,49,0.004709,-0.025644
x2-1844,5.0000,-2.460284,-0.061802,48,48,0.007726,0.024930
x2-1844,10.0000,-2.679219,-0.095860,58,58,0.004940,0.298512
x2-1844,15.0000,-2.849702,-0.101386,55,54,0.005728,0.192799
x2-1844,45.0000,-2.822130,0.447317,15,15,0.173404,1.203732
x2-1844,50.0000,-2.606812,0.667418,11,10,0.389265,-0.462818
x2-1844,55.0000,-3.012852,0.242039,11,11,0.109954,0.319937
x2-1844,60.0000,-2.883201,0.319271,9,9,0.124782,0.360668
x2-1844,65.0000,-2.747564,0.383518,10,10,0.281580,-1.062601
x2-1844,70.0000,-2.843592,0.196171,4,4,0.217887,0.491347
x2-1844,75.0000,-2.863785,0.056626,10,10,0.050276,-0.190942
x2-1844,80.0000,-2.560278,0.220663,10,10,0.135689,0.176527
x2-1844,85.0000,-2.898646,-0.277884,5,5,0.036836,-0.072209
x2-1844,90.0000,-2.197229,0.244795,4,4,0.254341,-0.889137
x2-1844,95.0000,-2.379819,-0.142590,7,6,0.255696,0.075434
x2-1844,100.0000,-2.346285,-0.316519,9,9,0.284081,-0.968947
x2-1844,105.0000,-1.542550,0.261019,13,12,0.208157,0.362556
x2-1844,110.0000,-1.448558,0.115739,10,10,0.075772,-0.236135
x2-1844,115.0000,-1.171023,0.141674,13,11,0.074870,1.097607
x2-1844,120.0000,-0.759188,0.289744,14,14,0.072045,-0.091325
x2-1844,125.0000,-0.507768,0.281580,6,5,0.152344,0.055277
x2-1844,130.0000,-0.634712,-0.113274,9,8,0.013799,0.230723
x2-1844,135.0000,-0.447341,-0.193753,13,10,0.019617,-0.667638
x2-1844,140.0000,-0.097206,-0.111578,12,10,0.023838,0.129744
x2-1844,145.0000,0.197289,-0.082196,19,2,0.042516,0.227514
x2-1844,150.0000,0.568220,0.027866,16,0,0.050658,0.200213
x2-1844,155.0000,0.766088,-0.030645,30,0,0.021823,0.543867
x2-1844,160.0000,0.969481,-0.074704,29,1,0.015272,0.172817
x2-1844,165.0000,1.242772,-0.037613,35,0,0.018327,0.368498
x2-1844,170.0000,1.511024,0.005735,43,1,0.012334,0.207489
x2-1844,175.0000,1.763516,0.048838,42,0,0.022628,0.144496
x2-1844,180.0000,1.993286,0.082857,43,0,0.015000,0.176437
x2-1844,185.0000,2.221821,0.130205,44,0,0.011318,0.114876
x2-1844,190.0000,2.388470,0.131919,42,0,0.006130,0.045820
x2-1844,195.0000,2.589822,0.189144,53,0,0.011820,0.125514
x2-1844,200.0000,2.748518,0.217567,47,0,0.009011,0.173349
x2-1844,205.0000,2.879479,0.246122,42,0,0.007022,0.040982
x2-1844,210.0000,3.046558,0.333282,48,0,0.017537,0.220508
x2-1844,215.0000,3.128335,0.344239,55,0,0.016517,0.258886
x2-1844,220.0000,3.203099,0.377084,53,0,0.017298,0.314303
x2-1844,225.0000,3.224199,0.378067,57,0,0.012735,0.361884
x2-1844,230.0000,3.286152,0.439387,57,0,0.018792,0.394976
x2-1844,235.0000,3.219306,0.398840,49,0,0.010420,0.440034
x2-1844,240.0000,3.374325,0.591719,49,0,0.032769,0.290743
x2-1844,245.0000,3.161858,0.443786,29,0,0.020077,0.296687
x2-1844,250.0000,2.550104,-0.077412,63,0,0.035301,-0.421965
x2-1844,300.0000,1.091971,0.283726,27,0,0.018157,1.197806
x2-1844,305.0000,0.864352,0.306617,28,0,0.037370,2.001846
x2-1844,310.0000,0.529175,0.228273,26,0,0.020635,1.260476
x2-1844,315.0000,0.269229,0.229794,30,0,0.023484,0.242253
x2-1844,320.0000,-0.019964,0.207613,31,20,0.029101,0.332507
x2-1844,325.0000,-0.373109,0.118113,33,29,0.011986,0.377655
x2-1844,330.0000,-0.672930,0.081892,38,34,0.010639,0.338577
x2-1844,335.0000,-0.967882,0.052174,35,35,0.009402,0.284284
x2-1844,340.0000,-1.171234,0.101668,37,35,0.020385,0.227939
x2-1844,345.0000,-1.442577,0.071399,36,34,0.019314,0.208605
x2-1844,350.0000,-1.756356,0.006761,48,47,0.011869,0.092890
x2-1844,355.0000,-2.018273,-0.026276,60,59,0.009815,0.117226
x2-1913,0.0000,-2.235415,-0.033860,209,208,0.002512,0.034987
x2-1913,5.0000,-2.439005,-0.040522,190,190,0.003220,0.010798
x2-1913,10.0000,-2.657173,-0.073814,212,210,0.002533,0.029349
x2-1913,15.0000,-2.824832,-0.076516,220,219,0.002982,-0.004554
x2-1913,50.0000,-3.006739,0.267491,43,42,0.116051,0.765519
x2-1913,55.0000,-2.971562,0.283329,38,35,0.125696,0.757637
x2-1913,60.0000,-2.837889,0.364583,23,21,0.090769,0.058949
x2-1913,65.0000,-2.907851,0.223231,18,18,0.087262,0.158304
x2-1913,70.0000,-2.761795,0.277969,21,21,0.087272,0.044007
x2-1913,75.0000,-2.821670,0.098741,12,11,0.097504,0.110792
x2-1913,80.0000,-2.463891,0.317050,21,21,0.090769,0.390847
x2-1913,85.0000,-2.489751,0.131011,14,14,0.092524,0.340497
x2-1913,90.0000,-2.523857,-0.081833,12,12,0.091246,-0.014854
x2-1913,95.0000,-2.261784,-0.024555,12,12,0.058561,0.357355
x2-1913,100.0000,-1.853398,0.176368,15,15,0.104473,0.611641
x2-1913,105.0000,-1.725529,0.078040,15,15,0.058003,-0.113179
x2-1913,110.0000,-1.541426,0.022871,17,17,0.042135,-0.165639
x2-1913,115.0000,-1.224755,0.087943,20,20,0.070935,0.179972
x2-1913,120.0000,-1.196762,-0.147830,13,13,0.012521,0.236007
x2-1913,125.0000,-0.775702,0.013646,19,19,0.039861,0.093999
x2-1913,130.0000,-0.522187,-0.000749,25,23,0.036209,0.272939
x2-1913,135.0000,-0.288684,-0.035095,25,22,0.031674,0.280496
x2-1913,140.0000,-0.048707,-0.063078,25,19,0.020013,0.781162
x2-1913,145.0000,0.224941,-0.054544,27,4,0.020852,-0.209581
x2-1913,150.0000,0.443575,-0.096779,33,3,0.009693,0.136606
x2-1913,155.0000,0.777908,-0.018825,42,1,0.016422,0.294766
