# source: kjerag-spike --bin epi (0.2.0)
# args: scratch/epi/corpus/x4-0410.csv scratch/epi/corpus/x4-0501.csv scratch/epi/corpus/x4-0526.csv scratch/epi/corpus/x4-0714.csv scratch/epi/corpus/x4-0725.csv scratch/epi/corpus/x4-0802.csv axis=epi middle=trimmed seam=roll:0.795,yaw:-2.310,pitch:-0.936,cx:-3.28,cy:-11.91 dump=scratch/epi/leftovers-x4-epi.csv
# axis: across the seam (epipolar)
# reduction: trimmed, gate on
# seam: roll:0.795 yaw:-2.31 pitch:-0.936 cx:-3.28 cy:-11.91
# left_deg is across_deg with the pose's own across-seam shift added.
capture,phi_deg,read_deg,left_deg,readings,negative,error_deg,skew_deg
x4-0410,0.0000,2.351817,-0.076976,220,22,0.011352,-2.136479
x4-0410,5.0000,2.203998,-0.231293,156,29,0.031576,-2.516173
x4-0410,10.0000,2.161884,-0.263091,118,7,0.016765,-0.186006
x4-0410,15.0000,2.078092,-0.313148,89,2,0.017137,0.658825
x4-0410,20.0000,2.028888,-0.314192,96,3,0.029419,0.523027
x4-0410,25.0000,1.931539,-0.343714,95,4,0.024729,0.595388
x4-0410,35.0000,2.090618,-0.001741,169,5,0.085093,0.968843
x4-0410,40.0000,1.955520,-0.020430,169,4,0.064810,1.410815
x4-0410,50.0000,1.784325,0.083198,349,7,0.032559,-0.818803
x4-0410,55.0000,1.875239,0.329903,412,4,0.030442,-0.879568
x4-0410,125.0000,-1.097781,0.183085,175,174,0.050790,-0.659807
x4-0410,130.0000,-1.268165,0.198377,213,199,0.052101,-0.414938
x4-0410,135.0000,-1.802540,-0.158028,118,117,0.065150,1.098099
x4-0410,140.0000,-1.678718,0.132062,106,106,0.060898,-0.096093
x4-0410,145.0000,-1.773761,0.187287,100,98,0.077275,-0.006268
x4-0410,150.0000,-2.056907,0.038992,96,96,0.070789,0.258260
x4-0410,155.0000,-2.424027,-0.206435,115,115,0.050269,1.075182
x4-0410,160.0000,-2.489031,-0.165590,101,101,0.044130,0.529867
