capture,phi_deg,left_deg
20260410_185407,0.0000,-0.107664
20260410_185407,5.0000,-0.036144
20260410_185407,25.0000,-0.227839
20260410_185407,30.0000,-0.003208
20260410_185407,35.0000,-0.044208
20260410_185407,40.0000,-0.040228
20260410_185407,45.0000,-0.025676
20260410_185407,50.0000,-0.047323
20260410_185407,55.0000,-0.134121
20260410_185407,60.0000,-0.067715
20260410_185407,65.0000,-0.055476
20260410_185407,70.0000,-0.063762
20260410_185407,75.0000,-0.059262
20260410_185407,80.0000,-0.055509
20260410_185407,85.0000,-0.064327
20260410_185407,95.0000,-0.132360
20260410_185407,100.0000,-0.053139
20260410_185407,105.0000,-0.021789
20260410_185407,110.0000,-0.009607
20260410_185407,115.0000,-0.107009
20260410_185407,120.0000,-0.150537
20260410_185407,125.0000,-0.033963
20260410_185407,135.0000,-0.007084
20260410_185407,150.0000,0.105655
20260410_185407,155.0000,0.095422
20260410_185407,160.0000,-0.090654
20260410_185407,180.0000,0.060284
20260410_185407,185.0000,0.121395
20260410_185407,190.0000,-0.065157
20260410_185407,195.0000,0.003430
20260410_185407,200.0000,0.104937
20260410_185407,205.0000,0.118944
20260410_185407,210.0000,0.055710
20260410_185407,215.0000,0.005450
20260410_185407,220.0000,0.053828
20260410_185407,225.0000,0.091255
20260410_185407,235.0000,0.047656
20260410_185407,240.0000,0.048421
20260410_185407,255.0000,0.018102
20260410_185407,260.0000,0.020593
20260410_185407,270.0000,0.000820
20260410_185407,275.0000,0.034078
20260410_185407,285.0000,-0.024147
20260410_185407,290.0000,-0.097058
20260410_185407,305.0000,-0.036785
20260410_185407,315.0000,-0.032294
20260410_185407,320.0000,-0.088416
20260410_185407,325.0000,-0.023364
20260410_185407,330.0000,-0.029099
20260410_185407,335.0000,-0.039707
20260410_185407,340.0000,0.041793
20260410_185407,345.0000,-0.063663
20260410_185407,350.0000,0.030417
20260410_185407,355.0000,-0.011893
20260501_183417,0.0000,-0.056764
20260501_183417,5.0000,-0.053782
20260501_183417,10.0000,-0.054033
20260501_183417,15.0000,-0.060825
20260501_183417,20.0000,-0.064485
20260501_183417,25.0000,0.113797
20260501_183417,35.0000,-0.066277
20260501_183417,40.0000,0.056520
20260501_183417,45.0000,-0.083929
20260501_183417,50.0000,0.038479
20260501_183417,55.0000,-0.061440
20260501_183417,60.0000,-0.062667
20260501_183417,65.0000,-0.088272
20260501_183417,70.0000,-0.074426
20260501_183417,75.0000,-0.033048
20260501_183417,100.0000,-0.200267
20260501_183417,135.0000,-0.004201
20260501_183417,145.0000,0.037525
20260501_183417,155.0000,0.022709
20260501_183417,165.0000,0.034838
20260501_183417,175.0000,0.135317
20260501_183417,195.0000,0.077804
20260501_183417,200.0000,0.040066
20260501_183417,205.0000,0.059822
20260501_183417,210.0000,0.054324
20260501_183417,215.0000,0.064194
20260501_183417,220.0000,0.031372
20260501_183417,225.0000,0.034474
20260501_183417,230.0000,0.074243
20260501_183417,235.0000,0.067821
20260501_183417,240.0000,0.084016
20260501_183417,245.0000,0.041737
20260501_183417,250.0000,-0.040712
20260501_183417,255.0000,0.047432
20260501_183417,260.0000,0.012598
20260501_183417,265.0000,-0.010533
20260501_183417,270.0000,0.041604
20260501_183417,275.0000,0.020524
20260501_183417,280.0000,-0.009403
20260501_183417,285.0000,-0.012599
20260501_183417,290.0000,-0.013982
20260501_183417,295.0000,-0.024866
20260501_183417,300.0000,-0.037656
20260501_183417,325.0000,-0.057865
20260501_183417,330.0000,-0.043404
20260501_183417,335.0000,-0.069629
20260501_183417,340.0000,-0.069395
20260501_183417,350.0000,-0.049205
20260501_183417,355.0000,-0.077557
20260526_191025,0.0000,0.134256
20260526_191025,5.0000,-0.032461
20260526_191025,10.0000,-0.072926
20260526_191025,15.0000,-0.087073
20260526_191025,20.0000,-0.074000
20260526_191025,30.0000,-0.034542
20260526_191025,35.0000,-0.024615
20260526_191025,40.0000,0.094977
20260526_191025,45.0000,-0.066896
20260526_191025,55.0000,-0.059551
20260526_191025,70.0000,-0.071716
20260526_191025,80.0000,-0.165402
20260526_191025,95.0000,-0.127722
